species,date,confidence,alert_count,area_ha
pongo_pygmaeus,2026-01-26,nominal,7,0.0861
pongo_pygmaeus,2026-01-27,high,219,2.6945
pongo_pygmaeus,2026-01-27,highest,161,1.9809
pongo_pygmaeus,2026-01-27,nominal,4,0.0492
pongo_pygmaeus,2026-01-28,nominal,15,0.1846
pongo_pygmaeus,2026-01-28,high,4,0.0492
pongo_pygmaeus,2026-01-29,high,52960,651.6774
pongo_pygmaeus,2026-01-29,highest,30981,381.2446
pongo_pygmaeus,2026-01-29,nominal,440,5.4143
pongo_pygmaeus,2026-01-30,high,61,0.7508
pongo_pygmaeus,2026-01-30,highest,37,0.4554
pongo_pygmaeus,2026-01-30,nominal,304,3.7418
pongo_pygmaeus,2026-01-31,high,19325,237.5075
pongo_pygmaeus,2026-01-31,highest,5811,71.4688
pongo_pygmaeus,2026-01-31,nominal,653,8.0322
pongo_pygmaeus,2026-02-01,nominal,141,1.7283
pongo_pygmaeus,2026-02-01,high,120,1.4709
pongo_pygmaeus,2026-02-03,high,2409,29.6448
pongo_pygmaeus,2026-02-03,highest,3228,39.7227
pongo_pygmaeus,2026-02-03,nominal,34,0.4184
pongo_pygmaeus,2026-02-04,high,644,7.9261
pongo_pygmaeus,2026-02-04,highest,533,6.5593
pongo_pygmaeus,2026-02-04,nominal,171,2.1046
pongo_pygmaeus,2026-02-05,high,35300,434.4303
pongo_pygmaeus,2026-02-05,highest,6111,75.2017
pongo_pygmaeus,2026-02-05,nominal,288,3.5445
pongo_pygmaeus,2026-02-06,nominal,1616,19.8809
pongo_pygmaeus,2026-02-06,highest,323,3.9749
pongo_pygmaeus,2026-02-06,high,2628,32.3255
pongo_pygmaeus,2026-02-08,high,271,3.3167
pongo_pygmaeus,2026-02-08,highest,14,0.1715
pongo_pygmaeus,2026-02-08,nominal,43,0.5266
pongo_pygmaeus,2026-02-09,high,137,1.6862
pongo_pygmaeus,2026-02-09,nominal,15,0.1846
pongo_pygmaeus,2026-02-10,high,25073,308.5201
pongo_pygmaeus,2026-02-10,highest,7923,97.4616
pongo_pygmaeus,2026-02-10,nominal,266,3.2732
pongo_pygmaeus,2026-02-12,highest,9607,118.1612
pongo_pygmaeus,2026-02-12,nominal,669,8.229
pongo_pygmaeus,2026-02-12,high,18056,221.9426
pongo_pygmaeus,2026-02-14,nominal,9,0.1108
pongo_pygmaeus,2026-02-15,high,2032,25.0062
pongo_pygmaeus,2026-02-15,highest,1610,19.8071
pongo_pygmaeus,2026-02-15,nominal,38,0.4677
pongo_pygmaeus,2026-02-16,high,3251,39.8791
pongo_pygmaeus,2026-02-16,highest,360,4.4165
pongo_pygmaeus,2026-02-16,nominal,1378,16.9024
pongo_pygmaeus,2026-02-17,high,38937,479.1299
pongo_pygmaeus,2026-02-17,highest,7879,96.9587
pongo_pygmaeus,2026-02-17,nominal,1280,15.7457
pongo_pygmaeus,2026-02-19,nominal,9,0.1107
pongo_pygmaeus,2026-02-19,high,1214,14.9212
pongo_pygmaeus,2026-02-19,highest,188,2.3119
pongo_pygmaeus,2026-02-22,high,17262,212.4073
pongo_pygmaeus,2026-02-22,highest,7310,89.9313
pongo_pygmaeus,2026-02-22,nominal,202,2.4857
pongo_pygmaeus,2026-02-24,high,15824,194.4705
pongo_pygmaeus,2026-02-24,highest,3782,46.4949
pongo_pygmaeus,2026-02-24,nominal,280,3.4411
pongo_pygmaeus,2026-02-27,nominal,16,0.1969
pongo_pygmaeus,2026-02-27,high,1976,24.3157
pongo_pygmaeus,2026-02-27,highest,1336,16.4401
pongo_pygmaeus,2026-03-01,nominal,4959,61.0089
pongo_pygmaeus,2026-03-01,high,76122,936.6318
pongo_pygmaeus,2026-03-01,highest,23622,290.651
pongo_pygmaeus,2026-03-02,high,10974,135.068
pongo_pygmaeus,2026-03-02,highest,735,9.0465
pongo_pygmaeus,2026-03-02,nominal,5062,62.3034
pongo_pygmaeus,2026-03-03,high,1427,17.5289
pongo_pygmaeus,2026-03-03,highest,188,2.3104
pongo_pygmaeus,2026-03-03,nominal,104,1.2749
pongo_pygmaeus,2026-03-04,high,628,7.6985
pongo_pygmaeus,2026-03-04,nominal,206,2.5253
pongo_pygmaeus,2026-03-05,high,6474,79.6715
pongo_pygmaeus,2026-03-05,highest,219,2.6951
pongo_pygmaeus,2026-03-05,nominal,1864,22.9376
pongo_pygmaeus,2026-03-06,high,16803,206.7531
pongo_pygmaeus,2026-03-06,highest,5867,72.1763
pongo_pygmaeus,2026-03-06,nominal,264,3.2486
pongo_pygmaeus,2026-03-08,highest,6148,75.5694
pongo_pygmaeus,2026-03-08,nominal,448,5.5054
pongo_pygmaeus,2026-03-08,high,24789,304.5673
pongo_pygmaeus,2026-03-09,high,62,0.7632
pongo_pygmaeus,2026-03-10,nominal,33,0.4057
pongo_pygmaeus,2026-03-10,high,62,0.7623
pongo_pygmaeus,2026-03-11,nominal,20,0.2461
pongo_pygmaeus,2026-03-11,high,2400,29.5355
pongo_pygmaeus,2026-03-11,highest,1197,14.7258
pongo_pygmaeus,2026-03-12,high,270,3.3145
pongo_pygmaeus,2026-03-12,highest,63,0.7734
pongo_pygmaeus,2026-03-12,nominal,157,1.9273
pongo_pygmaeus,2026-03-13,nominal,3040,37.3077
pongo_pygmaeus,2026-03-15,high,1650,20.2913
pongo_pygmaeus,2026-03-15,highest,600,7.3835
pongo_pygmaeus,2026-03-15,nominal,16,0.1967
pongo_pygmaeus,2026-03-16,highest,410,5.0445
pongo_pygmaeus,2026-03-16,nominal,393,4.8361
pongo_pygmaeus,2026-03-16,high,1593,19.6016
pongo_pygmaeus,2026-03-17,high,302,3.7149
pongo_pygmaeus,2026-03-17,highest,101,1.2423
pongo_pygmaeus,2026-03-17,nominal,115,1.4142
pongo_pygmaeus,2026-03-18,high,39940,491.4759
pongo_pygmaeus,2026-03-18,highest,12373,152.2359
pongo_pygmaeus,2026-03-18,nominal,13960,171.7731
pongo_pygmaeus,2026-03-19,nominal,60,0.7382
pongo_pygmaeus,2026-03-19,high,1688,20.7683
pongo_pygmaeus,2026-03-19,highest,528,6.4962
pongo_pygmaeus,2026-03-20,highest,7804,95.974
pongo_pygmaeus,2026-03-20,nominal,665,8.1635
pongo_pygmaeus,2026-03-20,high,20411,250.7275
pongo_pygmaeus,2026-03-21,high,11505,141.0202
pongo_pygmaeus,2026-03-21,highest,2,0.0246
pongo_pygmaeus,2026-03-21,nominal,1591,19.5123
pongo_pygmaeus,2026-03-23,high,2432,29.928
pongo_pygmaeus,2026-03-23,highest,1137,13.9903
pongo_pygmaeus,2026-03-23,nominal,21,0.2584
